180000,Feb 27 2018,1400,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-128/home/1038189
165500,Apr 6 2017,1200,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-55/home/108245751
128000,Dec 22 2016,1200,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-133/home/104238827
190000,Jul 14 2016,690,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-2/home/63740545
280000,Nov 24 2015,1000,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-108/home/615034
158888,May 7 2015,612,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-100/home/1326462
185000,Jan 1 2015,670,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-69/home/23047646
159000,Dec 10 2014,750,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-113/home/21854951
105000,Oct 3 2014,750,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-29/home/57175351
132000,Mar 28 2014,725,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-5/home/49738809
110000,Apr 1 2013,675,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-68/home/2123012
80000,Jan 4 2013,650,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-24/home/1540071
60000,Jan 28 2011,625,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-13/home/39538026
62500,Mar 19 2010,650,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-112/home/58635165
63000,Oct 30 2008,600,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-142/home/826369
82500,Nov 20 2007,560,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-105/home/21854414
72500,Nov 15 2007,540,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-41/home/615185
86000,Jul 20 2007,530,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-77/home/607324
102000,Apr 29 2005,505,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-52/home/963170
38000,Aug 16 2004,,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-26/home/63740578
67000,Aug 23 1999,410,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-134/home/868349
28000,Jul 29 1998,386,http://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-50/home/63740581
